"country","year","Title","Genre"
"Australia, Greece",1992,"Batman Returns","Action, Crime, Fantasy"
"Australia, Greece, Sweden, Belgium, Iceland, India",2001,"Along Came a Spider","Drama, Thriller"
"Australia, Hong Kong, Japan, France, Singapore, Poland, Sweden, India, Hungary, Slovakia, Germany, Russia, Lithuania, Spain, United Kingdom, Canada, Iceland, Romania, South Africa, Switzerland, Czech Republic, Belgium, Thailand, Portugal, United States, Argentina, Mexico, Turkey, Greece, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2019,"Hikaru Utada Laughter in the Dark Tour 2018","Music"
"Australia, Hong Kong, South Korea, Japan, Singapore, Lithuania, United Kingdom, Russia, Czech Republic, Poland, Germany, Spain, United States, Hungary, France, Greece, Switzerland, Slovakia, Sweden, Thailand, Belgium, Turkey, Malaysia, Netherlands, Italy, South Africa, Iceland, Portugal, Israel, Mexico, Argentina, Brazil, Colombia, Romania",2019,"ninjago","Action, Adventure, Animation"
"Australia, Hong Kong, Thailand, Brazil, Singapore, Argentina, Malaysia, Mexico, Colombia, Poland, Greece, Czech Republic, Hungary, Slovakia, Romania, Turkey",2000,"Shaft","Action, Crime, Thriller"
"Australia, Hong Kong, Thailand, Singapore, Malaysia",1996,"Executive Decision","Action, Adventure, Thriller"
"Australia, Hungary, United States, Russia, Lithuania, Czech Republic, Canada, South Africa, Greece, Slovakia, Malaysia, Iceland, India, South Korea, Hong Kong, Thailand, Singapore",2001,"Behind Enemy Lines","Action, Drama, Thriller, War"
"Australia, Iceland, Japan, Singapore, Russia, France, South Korea, Poland, Netherlands, India, Sweden, Hungary, Portugal, Slovakia, Germany, Lithuania, Brazil, Switzerland, Belgium, Spain, United Kingdom, Romania, Canada, Greece, Hong Kong, United States, Czech Republic, South Africa, Mexico, Argentina, Israel, Italy, Thailand, Turkey, Malaysia, Colombia",2014,"#Selfie","Comedy"
"Australia, India",1997,"Selena","Biography, Drama, Music"
"Australia, India",2005,"Syriana","Drama, Thriller"
"Australia, India",2019,"The Wedding Year","Comedy"
"Australia, India, Canada, United Kingdom, South Africa, United States",2016,"Top Grier","Reality-TV"
"Australia, India, Canada, United Kingdom, United States, Turkey, Malaysia, Israel, South Korea, Russia, France, Japan, Switzerland, Lithuania, Belgium, Netherlands, Italy, Greece",2004,"The Terminal","Comedy, Drama, Romance"
"Australia, India, Hungary, Lithuania, Slovakia, Czech Republic, Russia, Greece, Iceland, South Africa, United Kingdom, United States, Canada, Argentina, Switzerland, Netherlands, Sweden, Belgium, Spain, France, Germany, Portugal, Poland, Singapore, Romania, Israel, Mexico, South Korea, Hong Kong, Japan, Italy, Thailand, Turkey",2009,"Jim Gaffigan: King Baby","Comedy, Documentary"
"Australia, India, Hungary, Lithuania, Slovakia, Czech Republic, Russia, Greece, Iceland, South Africa, United Kingdom, United States, Canada, Argentina, Switzerland, Sweden, Netherlands, Belgium, Spain, France, Germany, Portugal, Romania, Poland, Singapore, Israel, Mexico, South Korea, Hong Kong, Japan, Italy, Thailand, Turkey",2014,"Jim Gaffigan: Obsessed","Comedy, Documentary"
"Australia, India, Japan, United Kingdom, Lithuania, France, Iceland, Spain, Mexico, Greece, Belgium, Thailand, Singapore, Canada, Czech Republic, Portugal, South Africa, Argentina, Switzerland, Hong Kong, South Korea, United States, Russia, Slovakia, Sweden, Germany, Poland, Turkey, Hungary, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia, Romania",2017,"Kongsuni and Friends","Animation"
"Australia, India, Lithuania, Canada, Russia, Hungary, South Africa, Czech Republic, United Kingdom, United States, Slovakia, Iceland",1986,"Jaal","Action, Drama"
"Australia, India, Lithuania, Mexico, Argentina, Russia, United States, Hong Kong, Brazil, Colombia",2012,"The Perks of Being a Wallflower","Drama, Romance"
"Australia, India, Lithuania, Romania, Russia, United Kingdom, Canada, South Africa, Thailand, Hungary, Singapore, Czech Republic, United States, Greece, Slovakia, Malaysia, Iceland, Israel",2014,"Yeh Hai Bakrapur","Comedy, Drama"
"Australia, India, Lithuania, United Kingdom, Canada, Russia, Hungary, South Africa, Czech Republic, United States, Slovakia, Malaysia, Iceland",1980,"Alibaba Aur 40 Chor","Action, Adventure, Family, Fantasy, Romance"
"Australia, India, Lithuania, United Kingdom, Canada, Russia, Hungary, South Africa, Czech Republic, United States, Slovakia, Turkey, Malaysia, Iceland, Israel",2017,"Baadshaho","Action, Thriller"
"Australia, India, Lithuania, United Kingdom, Canada, Russia, South Africa, Hungary, Czech Republic, United States, Slovakia, Malaysia, Iceland",1986,"Pyar Ke Do Pal","Action, Drama"
"Australia, India, Lithuania, United Kingdom, Canada, Russia, South Africa, Hungary, Singapore, Czech Republic, United States, Slovakia, Malaysia, Iceland",2004,"Yuva","Action, Drama, Thriller"
"Australia, India, Lithuania, United Kingdom, Canada, Singapore, Russia, Hong Kong, Japan, Romania, Mexico, South Korea, South Africa, Thailand, Hungary, Argentina, Czech Republic, United States, Greece, Slovakia, Malaysia, Iceland, Israel, Colombia",2010,"Days We Stared at the Sun","Drama"
"Australia, India, Lithuania, United Kingdom, Canada, Singapore, Russia, Hungary, Romania, South Africa, Thailand, Czech Republic, United States, Greece, Slovakia, Malaysia, Iceland, Israel",2013,"ViR: The Robot Boy","Animation, Comedy, Family"
"Australia, India, Lithuania, United Kingdom, Singapore, Russia, Hungary, Hong Kong, Japan, Romania, South Korea, South Africa, Thailand, Canada, Argentina, Mexico, Czech Republic, United States, Greece, Slovakia, Iceland, Israel, Colombia",2015,"A Touch of Green","Drama, War"
"Australia, India, Russia, Czech Republic, Lithuania, Slovakia, Iceland, Hungary, France, Greece, Japan, Sweden, Hong Kong, Poland, Portugal, Germany, Argentina, Turkey, Spain, Romania, Belgium, Canada, United States, Mexico, South Africa, Singapore, Switzerland, United Kingdom, Thailand, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2013,"Man Down","Comedy"
"Australia, India, Russia, Lithuania, United Kingdom, Canada, South Africa, Hungary, Czech Republic, United States, Slovakia, Malaysia, Iceland",2017,"Running Shaadi","Comedy, Romance"
"Australia, India, Russia, Lithuania, United Kingdom, Canada, United States, Romania, South Africa, Singapore, Thailand, Hungary, Czech Republic, Greece, Slovakia, Malaysia, Iceland, Israel",2013,"War Chhod Na Yaar","Comedy, War"
"Australia, India, Russia, Romania, Greece, South Africa, Poland, Singapore, Israel, United Kingdom, Mexico, Argentina, Canada, Brazil, Sweden, Switzerland, Belgium, Spain, Netherlands, France, Germany, Iceland, Slovakia, Hungary, Lithuania, Czech Republic, Portugal, United States, South Korea, Hong Kong, Japan, Italy, Thailand, Turkey",2015,"Louis C.K.: Live at the Comedy Store","Comedy"
"Australia, India, Singapore, Romania, Lithuania, South Africa, Russia, Thailand, United Kingdom, Canada, Hungary, Czech Republic, United States, Malaysia, Iceland, Israel, Greece, Slovakia",2019,"Noblemen","Drama"
"Australia, India, South Africa, United States, Canada, Lithuania, United Kingdom, Singapore, France, Greece, Romania, Thailand, Hungary, Japan, Hong Kong, Portugal, Argentina, Slovakia, Belgium, Turkey, Malaysia, Brazil, Netherlands, Italy, Israel, Russia, Colombia",2016,"Occupied","Drama, Thriller"
"Australia, India, Sweden, Turkey",2005,"Stealth","Action, Adventure, Sci-Fi, Thriller"
"Australia, India, Turkey, Hong Kong",2015,"Mortdecai","Action, Adventure, Comedy, Crime, Mystery"
"Australia, India, Turkey, Sweden, Russia, Czech Republic, Hungary, Slovakia, United Kingdom, Romania",2018,"What They Had","Drama"
"Australia, India, Turkey, United States",2015,"No Escape","Action, Thriller"
"Australia, India, United Kingdom, Canada, South Africa, United States",2017,"For the Win","Sport"
"Australia, India, United Kingdom, Canada, South Africa, United States",2018,"Inst@famous","Reality-TV"
"Australia, India, United Kingdom, Canada, South Africa, United States",2019,"Girl on the Third Floor","Drama, Horror, Mystery"
"Australia, India, United Kingdom, Canada, United States, South Africa, Portugal, Lithuania, Mexico, Iceland, Greece, Brazil, Romania, Spain, Slovakia, Israel, Argentina, Thailand, Switzerland, Czech Republic, Italy, France, Russia, Poland, South Korea, Sweden, Japan, Singapore, Netherlands, Hong Kong, Germany, Belgium, Hungary, Turkey, Malaysia, Colombia",2018,"Droppin Cash: Los Angeles","Reality-TV"
"Australia, India, United Kingdom, Canada, United States, Turkey, Malaysia, Israel",1969,"The Confrontation","Drama, Musical"
"Australia, India, United Kingdom, Canada, United States, Turkey, Malaysia, Israel",2017,"The Last of the Schmucks","Comedy, Sci-Fi"
"Australia, India, United Kingdom, Canada, United States, Turkey, Malaysia, Israel",2018,"Disappearance","Crime, Documentary"
"Australia, India, United Kingdom, Canada, United States, Turkey, Malaysia, Israel",2018,"Eugenie Nights","Drama, Romance"
"Australia, India, United Kingdom, Canada, United States, Turkey, Malaysia, Israel",2018,"Hidden Worlds","Drama"
"Australia, India, United Kingdom, Canada, United States, Turkey, Malaysia, Israel",2018,"Peasants Rebellion","History"
"Australia, India, United Kingdom, Canada, United States, Turkey, Malaysia, Israel",2018,"Tayee","Drama"
"Australia, India, United Kingdom, Canada, United States, Turkey, Malaysia, Israel",2018,"The Land of Hypocrisy","Comedy"
"Australia, India, United Kingdom, Canada, United States, Turkey, Malaysia, Israel",2018,"This Evening","Documentary"
"Australia, Israel, Singapore, Argentina, Brazil, Switzerland, Belgium, Netherlands, Sweden, France, Germany, Spain, Iceland, Portugal, India, Slovakia, Lithuania, Czech Republic, Hungary, Russia, South Africa, Romania, Poland, United States, Mexico, Canada, South Korea, Hong Kong, Japan, Italy, Thailand, United Kingdom, Turkey",1979,"Richard Pryor: Live in Concert","Comedy, Documentary"
"Australia, Israel, Singapore, United Kingdom, Argentina, Brazil, Belgium, Netherlands, Sweden, Iceland, Portugal, India, Slovakia, Lithuania, Czech Republic, Russia, Greece, South Africa, Romania, Poland, United States, Mexico, Canada, Switzerland, Spain, France, Germany, South Korea, Hong Kong, Japan, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2016,"Rainbow Time","Comedy, Drama"
"Australia, Italy, Israel, South Korea, Russia, Japan, France, Singapore, Iceland, Czech Republic, Poland, Netherlands, Sweden, India, Hungary, Portugal, Belgium, Slovakia, Germany, Lithuania, Brazil, Switzerland, Thailand, Romania, Greece, United Kingdom, Spain, Canada, United States, Argentina, South Africa, Mexico, Hong Kong, Turkey, Malaysia, Colombia",2018,"Bob Lazar: Area 51 and Flying Saucers","Documentary"
"Australia, Japan, Czech Republic, France, Singapore, Russia, India, Netherlands, Hungary, Poland, Slovakia, Belgium, Germany, Romania, Brazil, Lithuania, Spain, Greece, United Kingdom, Canada, Hong Kong, United States, Portugal, Switzerland, Argentina, South Africa, Mexico, South Korea, Iceland, Israel, Italy, Thailand, Sweden, Turkey, Malaysia, Colombia",2017,"Follow Me","Comedy, Short"
"Australia, Japan, Czech Republic, Singapore, France, Russia, Poland, India, Sweden, Hungary, Slovakia, Lithuania, Spain, United Kingdom, Hong Kong, Canada, Argentina, Romania, Belgium, Mexico, Greece, South Korea, Switzerland, Portugal, South Africa, Iceland, Thailand, Turkey, United States, Germany, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2018,"Darc","Action, Crime, Thriller"
"Australia, Japan, France, Hong Kong, Singapore, Sweden, Poland, Hungary, India, Slovakia, Germany, Lithuania, Spain, United Kingdom, Romania, Iceland, South Africa, Switzerland, Czech Republic, Russia, Belgium, Portugal, Thailand, Argentina, Canada, Mexico, Turkey, Greece, Brazil, Netherlands, Italy, Israel, Colombia",2012,"Kahaani","Mystery, Thriller"
"Australia, Japan, France, Poland, Russia, Singapore, Netherlands, Sweden, Belgium, Portugal, Switzerland, India, Slovakia, Germany, Lithuania, Brazil, Argentina, Romania, Spain, Israel, United Kingdom, Canada, Hong Kong, Iceland, United States, Czech Republic, Greece, South Africa, Mexico, South Korea, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2000,"Step Outside","Comedy, Short"
"Australia, Japan, France, Russia, Singapore, Netherlands, India, Poland, Sweden, Germany, Lithuania, Brazil, Romania, Spain, United Kingdom, Canada, Slovakia, Hong Kong, United States, Portugal, Israel, Greece, Switzerland, Czech Republic, Argentina, South Africa, Mexico, Belgium, South Korea, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2018,"The Dawn Wall","Biography, Documentary, Sport"
"Australia, Japan, France, Russia, South Korea, Singapore, Portugal, Netherlands, India, Hungary, Poland, Slovakia, Sweden, Germany, Czech Republic, Lithuania, Brazil, Spain, Switzerland, Canada, Hong Kong, United Kingdom, United States, Argentina, Mexico, Belgium, Romania, Greece, South Africa, Iceland, Israel, Italy, Thailand, Turkey, Malaysia, Colombia",2018,"Behind the Curve","Documentary"
"Australia, Japan, France, Singapore, Hong Kong, Sweden, Portugal, India, Poland, Hungary, Belgium, Slovakia, Iceland, Germany, South Africa, Lithuania, Greece, United Kingdom, Spain, Romania, Canada, Argentina, Czech Republic, Mexico, Thailand, Switzerland, Russia, United States, Turkey, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2015,"The Visit","Horror, Mystery, Thriller"
"Australia, Japan, France, Singapore, Russia, Sweden, Hong Kong, India, Poland, Hungary, Slovakia, Germany, Lithuania, United Kingdom, Spain, Canada, Mexico, Romania, Thailand, South Africa, Czech Republic, Belgium, Portugal, Turkey, Greece, Argentina, Iceland, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",1999,"Hum Saath-Saath Hain","Drama, Family, Musical, Romance"
"Australia, Japan, Hong Kong, Poland, Sweden, India, Hungary, Slovakia, Russia, Germany, Lithuania, Spain, United Kingdom, Mexico, Singapore, Thailand, Romania, South Africa, Switzerland, Czech Republic, Belgium, Portugal, Greece, Iceland, Turkey, France, Argentina, Canada, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2018,"For the Broken Hearted","Drama"
"Australia, Japan, Hong Kong, Russia, France, Singapore, India, Sweden, Poland, Hungary, Portugal, Germany, Lithuania, Turkey, Spain, United Kingdom, Canada, Belgium, Romania, Greece, Czech Republic, Mexico, Iceland, Argentina, Thailand, South Africa, Brazil, Netherlands, Italy, Israel, Slovakia, Colombia, United States",2015,"Iyore","Drama"
"Australia, Japan, Hong Kong, Russia, Poland, India, Sweden, Hungary, Slovakia, Germany, Lithuania, Spain, France, United Kingdom, Mexico, Singapore, Thailand, Canada, South Africa, Romania, Switzerland, Belgium, Czech Republic, Greece, Argentina, Portugal, Iceland, Turkey, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2019,"Born Beautiful","Comedy"
"Australia, Japan, Hong Kong, Singapore, France, India, Portugal, Sweden, Poland, Hungary, South Africa, Slovakia, Belgium, Iceland, Germany, Lithuania, Spain, United Kingdom, Romania, Canada, Czech Republic, Argentina, Mexico, Thailand, Switzerland, Russia, Greece, United States, Turkey, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2016,"Couple of Days","Drama"
"Australia, Japan, Italy, Israel, France, South Korea, Singapore, Netherlands, Sweden, Hong Kong, Portugal, India, Poland, Hungary, Slovakia, South Africa, Belgium, Iceland, Germany, Turkey, Brazil, Lithuania, United Kingdom, Spain, Greece, Romania, Canada, Argentina, United States, Czech Republic, Mexico, Thailand, Switzerland, Russia, Malaysia, Colombia",2014,"When Love Happens","Romance"
"Australia, Japan, Portugal, Russia, France, Singapore, Sweden, Netherlands, India, Hungary, Poland, Slovakia, Lithuania, Germany, Brazil, Czech Republic, Spain, United Kingdom, Switzerland, Canada, South Africa, Hong Kong, United States, Argentina, Mexico, Belgium, Romania, Greece, South Korea, Iceland, Israel, Italy, Thailand, Turkey, Malaysia, Colombia",2018,"Chief Daddy","Comedy"
"Australia, Japan, Russia, Netherlands, Sweden, Singapore, Hong Kong, Poland, Portugal, India, Germany, Brazil, Hungary, Lithuania, Slovakia, Turkey, United Kingdom, Spain, Canada, Belgium, Romania, Switzerland, Greece, United States, Israel, Iceland, Argentina, France, Czech Republic, Mexico, Italy, South Africa, Thailand, South Korea, Malaysia, Colombia",2019,"Agent","Comedy, Crime, Mystery, Thriller"
